date,daily-stars,total-stars
20-04-2015,17,6432
21-04-2015,26,6458
22-04-2015,15,6473
23-04-2015,29,6502
24-04-2015,32,6534
25-04-2015,13,6547
26-04-2015,10,6557
27-04-2015,12,6569
28-04-2015,16,6585
29-04-2015,12,6597
30-04-2015,13,6610
01-05-2015,16,6626
02-05-2015,7,6633
03-05-2015,4,6637
04-05-2015,9,6646
05-05-2015,20,6666
06-05-2015,25,6691
07-05-2015,20,6711
08-05-2015,15,6726
09-05-2015,9,6735
10-05-2015,10,6745
11-05-2015,10,6755
12-05-2015,20,6775
13-05-2015,16,6791
14-05-2015,19,6810
15-05-2015,16,6826
16-05-2015,8,6834
17-05-2015,9,6843
18-05-2015,28,6871
19-05-2015,59,6930
20-05-2015,29,6959
21-05-2015,34,6993
22-05-2015,25,7018
23-05-2015,6,7024
24-05-2015,6,7030
25-05-2015,17,7047
26-05-2015,11,7058
27-05-2015,14,7072
28-05-2015,24,7096
29-05-2015,17,7113
30-05-2015,5,7118
31-05-2015,9,7127
01-06-2015,13,7140
02-06-2015,17,7157
03-06-2015,39,7196
04-06-2015,33,7229
05-06-2015,25,7254
06-06-2015,5,7259
07-06-2015,10,7269
08-06-2015,18,7287
09-06-2015,20,7307
10-06-2015,35,7342
11-06-2015,59,7401
12-06-2015,48,7449
13-06-2015,22,7471
14-06-2015,15,7486
15-06-2015,30,7516
16-06-2015,24,7540
17-06-2015,15,7555
18-06-2015,22,7577
19-06-2015,15,7592
20-06-2015,11,7603
21-06-2015,8,7611
22-06-2015,12,7623
23-06-2015,18,7641
24-06-2015,14,7655
25-06-2015,25,7680
26-06-2015,11,7691
27-06-2015,10,7701
28-06-2015,6,7707
29-06-2015,16,7723
30-06-2015,18,7741
01-07-2015,15,7756
02-07-2015,20,7776
03-07-2015,9,7785
04-07-2015,8,7793
05-07-2015,5,7798
06-07-2015,10,7808
07-07-2015,14,7822
08-07-2015,18,7840
09-07-2015,19,7859
10-07-2015,18,7877
11-07-2015,15,7892
12-07-2015,18,7910
13-07-2015,25,7935
14-07-2015,19,7954
15-07-2015,15,7969
16-07-2015,23,7992
17-07-2015,12,8004
18-07-2015,10,8014
19-07-2015,12,8026
20-07-2015,19,8045
21-07-2015,110,8155
22-07-2015,73,8228
23-07-2015,47,8275
24-07-2015,34,8309
25-07-2015,22,8331
26-07-2015,17,8348
27-07-2015,31,8379
28-07-2015,31,8410
29-07-2015,21,8431
30-07-2015,21,8452
31-07-2015,13,8465
01-08-2015,11,8476
02-08-2015,7,8483
03-08-2015,15,8498
04-08-2015,10,8508
05-08-2015,17,8525
06-08-2015,21,8546
07-08-2015,11,8557
08-08-2015,11,8568
09-08-2015,9,8577
10-08-2015,20,8597
11-08-2015,22,8619
12-08-2015,32,8651
13-08-2015,16,8667
14-08-2015,13,8680
15-08-2015,5,8685
16-08-2015,9,8694
17-08-2015,17,8711
18-08-2015,21,8732
19-08-2015,23,8755
20-08-2015,19,8774
21-08-2015,17,8791
22-08-2015,15,8806
23-08-2015,8,8814
24-08-2015,12,8826
25-08-2015,12,8838
26-08-2015,12,8850
27-08-2015,14,8864
28-08-2015,14,8878
29-08-2015,13,8891
30-08-2015,13,8904
31-08-2015,22,8926
01-09-2015,21,8947
02-09-2015,27,8974
03-09-2015,17,8991
04-09-2015,16,9007
05-09-2015,9,9016
06-09-2015,10,9026
07-09-2015,13,9039
08-09-2015,24,9063
09-09-2015,17,9080
10-09-2015,23,9103
11-09-2015,14,9117
12-09-2015,6,9123
13-09-2015,6,9129
14-09-2015,28,9157
15-09-2015,25,9182
16-09-2015,21,9203
17-09-2015,19,9222
18-09-2015,16,9238
19-09-2015,17,9255
20-09-2015,12,9267
21-09-2015,16,9283
22-09-2015,29,9312
23-09-2015,15,9327
24-09-2015,13,9340
25-09-2015,17,9357
26-09-2015,11,9368
27-09-2015,8,9376
28-09-2015,24,9400
29-09-2015,13,9413
30-09-2015,13,9426
01-10-2015,11,9437
02-10-2015,10,9447
03-10-2015,9,9456
04-10-2015,8,9464
05-10-2015,14,9478
06-10-2015,17,9495
07-10-2015,14,9509
08-10-2015,13,9522
09-10-2015,14,9536
10-10-2015,10,9546
11-10-2015,7,9553
12-10-2015,19,9572
13-10-2015,26,9598
14-10-2015,15,9613
15-10-2015,19,9632
16-10-2015,15,9647
17-10-2015,11,9658
18-10-2015,6,9664
19-10-2015,16,9680
20-10-2015,24,9704
21-10-2015,15,9719
22-10-2015,18,9737
23-10-2015,8,9745
24-10-2015,11,9756
25-10-2015,8,9764
26-10-2015,22,9786
27-10-2015,21,9807
28-10-2015,21,9828
29-10-2015,14,9842
30-10-2015,30,9872
31-10-2015,9,9881
01-11-2015,9,9890
02-11-2015,22,9912
03-11-2015,18,9930
04-11-2015,22,9952
05-11-2015,26,9978
06-11-2015,21,9999
07-11-2015,11,10010
08-11-2015,7,10017
09-11-2015,21,10038
10-11-2015,32,10070
11-11-2015,16,10086
12-11-2015,25,10111
13-11-2015,24,10135
14-11-2015,13,10148
15-11-2015,10,10158
16-11-2015,18,10176
17-11-2015,13,10189
18-11-2015,19,10208
19-11-2015,14,10222
20-11-2015,17,10239
21-11-2015,7,10246
22-11-2015,7,10253
23-11-2015,19,10272
24-11-2015,24,10296
25-11-2015,32,10328
26-11-2015,18,10346
27-11-2015,20,10366
28-11-2015,6,10372
29-11-2015,12,10384
30-11-2015,18,10402
01-12-2015,25,10427
02-12-2015,17,10444
03-12-2015,19,10463
04-12-2015,10,10473
05-12-2015,10,10483
06-12-2015,16,10499
07-12-2015,22,10521
08-12-2015,17,10538
09-12-2015,19,10557
10-12-2015,15,10572
11-12-2015,11,10583
12-12-2015,7,10590
13-12-2015,3,10593
14-12-2015,12,10605
15-12-2015,14,10619
16-12-2015,11,10630
17-12-2015,13,10643
18-12-2015,8,10651
19-12-2015,5,10656
20-12-2015,5,10661
21-12-2015,10,10671
