repo,stars,new-stars-last-30d,new-stars-last-14d,new-stars-last-7d,new-stars-last-24H,stars-per-mille-0d,language,archived,dependencies,status,start_date,join_date
spiffe/spiffe,1286,15,6,4,1,11.664,Shell,false,0,Graduated,2017-08-23 00:00:00 +0000 UTC,2018-03-29 00:00:00 +0000 UTC
inspektor-gadget/inspektor-gadget,1536,36,19,8,0,23.438,C,false,0,Sandbox,2019-05-18 00:00:00 +0000 UTC,2023-03-07 00:00:00 +0000 UTC
fluent/fluentd,12160,53,30,15,2,4.359,Ruby,false,0,Graduated,2014-01-02 00:00:00 +0000 UTC,2016-11-08 00:00:00 +0000 UTC
virtual-kubelet/virtual-kubelet,3905,26,9,5,1,6.658,Go,false,30,Sandbox,2017-12-04 00:00:00 +0000 UTC,2018-12-04 00:00:00 +0000 UTC
cdk8s-team/cdk8s,3787,41,16,10,1,10.827,JavaScript,false,0,Sandbox,2020-03-02 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
artifacthub/hub,1353,30,16,8,1,22.173,TypeScript,false,0,Sandbox,2020-03-10 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
konveyor/tackle2-operator,18,0,0,0,0,0.000,Jinja,false,0,Sandbox,2019-06-28 00:00:00 +0000 UTC,2022-07-26 00:00:00 +0000 UTC
cloud-custodian/cloud-custodian,4925,33,18,4,0,6.701,Python,false,0,Incubating,2016-04-18 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
grpc/grpc,38846,276,127,69,10,7.105,C++,false,0,Incubating,2015-02-23 00:00:00 +0000 UTC,2017-02-16 00:00:00 +0000 UTC
merbridge/merbridge,660,6,3,1,1,9.091,Go,false,16,Sandbox,2022-01-12 00:00:00 +0000 UTC,2022-12-14 00:00:00 +0000 UTC
ko-build/ko,6290,57,31,12,4,9.062,Go,false,18,Sandbox,2019-03-21 00:00:00 +0000 UTC,2022-12-14 00:00:00 +0000 UTC
goharbor/harbor,20755,208,104,55,8,10.022,Go,false,0,Graduated,2016-03-02 00:00:00 +0000 UTC,2018-07-31 00:00:00 +0000 UTC
kube-rs/kube-rs,2319,57,30,15,0,24.580,Rust,false,0,Sandbox,2018-11-12 00:00:00 +0000 UTC,2021-11-16 00:00:00 +0000 UTC
etcd-io/etcd,44377,289,148,70,12,6.512,Go,false,21,Graduated,2014-01-02 00:00:00 +0000 UTC,2018-12-11 00:00:00 +0000 UTC
wasmCloud/wasmCloud,994,30,13,3,1,30.181,Rust,false,0,Sandbox,2019-06-20 00:00:00 +0000 UTC,2021-07-13 00:00:00 +0000 UTC
AthenZ/athenz,796,6,4,2,1,7.538,Java,false,0,Sandbox,2017-01-13 00:00:00 +0000 UTC,2021-01-26 00:00:00 +0000 UTC
kuberhealthy/kuberhealthy,1767,33,11,4,1,18.676,Go,false,17,Sandbox,2018-07-18 00:00:00 +0000 UTC,2021-03-30 00:00:00 +0000 UTC
cni-genie/CNI-Genie,512,3,2,1,0,5.859,Go,false,0,Sandbox,2017-03-25 00:00:00 +0000 UTC,2020-06-25 00:00:00 +0000 UTC
open-cluster-management-io/api,227,2,2,2,1,8.811,Go,false,19,Sandbox,2020-04-20 00:00:00 +0000 UTC,2021-11-09 00:00:00 +0000 UTC
tinkerbell/tink,802,4,2,1,1,4.988,Go,false,31,Sandbox,2020-03-17 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
kubeflow/kubeflow,12922,120,58,32,4,9.286,TypeScript,false,0,Incubating,2017-11-30 00:00:00 +0000 UTC,2023-07-25 00:00:00 +0000 UTC
werf/werf,3749,30,14,7,1,8.002,Go,false,87,Sandbox,2016-01-25 00:00:00 +0000 UTC,2022-12-13 00:00:00 +0000 UTC
schemahero/schemahero,839,16,8,6,2,19.070,Go,false,24,Sandbox,2019-04-18 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
cilium/cilium,16330,245,111,47,5,15.003,Go,false,118,Incubating,2016-08-15 00:00:00 +0000 UTC,2021-10-13 00:00:00 +0000 UTC
metal3-io/baremetal-operator,457,8,7,3,0,17.505,Go,false,19,Sandbox,2019-04-23 00:00:00 +0000 UTC,2020-09-08 00:00:00 +0000 UTC
jaegertracing/jaeger,18199,186,90,41,7,10.220,Go,false,71,Graduated,2016-11-01 00:00:00 +0000 UTC,2017-09-13 00:00:00 +0000 UTC
trickstercache/trickster,1903,5,2,1,0,2.627,Go,false,24,Sandbox,2018-03-29 00:00:00 +0000 UTC,2021-03-30 00:00:00 +0000 UTC
openkruise/kruise,4054,50,20,13,1,12.333,Go,false,39,Incubating,2019-05-28 00:00:00 +0000 UTC,2020-11-10 00:00:00 +0000 UTC
openfga/openfga,1433,157,56,32,2,109.560,Go,false,40,Sandbox,2022-06-09 00:00:00 +0000 UTC,2022-09-14 00:00:00 +0000 UTC
rook/rook,11253,79,39,19,1,7.020,Go,false,37,Graduated,2016-11-08 00:00:00 +0000 UTC,2018-01-29 00:00:00 +0000 UTC
kedacore/keda,6763,125,86,43,6,18.483,Go,false,86,Graduated,2019-05-06 00:00:00 +0000 UTC,2020-03-12 00:00:00 +0000 UTC
kubevela/kubevela,5552,68,27,9,0,12.248,Go,false,92,Incubating,2020-09-03 00:00:00 +0000 UTC,2021-06-22 00:00:00 +0000 UTC
OpenObservability/OpenMetrics,2134,27,8,2,1,12.652,Go,false,0,Incubating,2017-06-22 00:00:00 +0000 UTC,2018-08-10 00:00:00 +0000 UTC
nocalhost/nocalhost,1669,17,10,7,0,10.186,Go,false,82,Sandbox,2020-11-05 00:00:00 +0000 UTC,2021-11-16 00:00:00 +0000 UTC
